skill	score	severity	issues	coverage_pct	executed
docx	100	CRITICAL	26	78.7	True
pptx	100	CRITICAL	28	75.0	True
xlsx	92	CRITICAL	24	73.6	True
task-observer	59	HIGH	4	100.0	True
playwright-recording	49	MEDIUM	6	0.0	True
import-memory	40	MEDIUM	2	0.0	True
bfl-api	32	MEDIUM	9	100.0	True
video-edit	32	MEDIUM	3	100.0	True
subagent-driven-development	31	MEDIUM	3	100.0	True
ffmpeg	29	MEDIUM	2	100.0	True
remotion	29	MEDIUM	2	100.0	True
create-video	28	MEDIUM	3	100.0	True
avatar-video	25	MEDIUM	2	100.0	True
flux-best-practices	25	MEDIUM	1	100.0	True
vercel-composition-patterns	25	MEDIUM	1	100.0	True
vercel-react-best-practices	25	MEDIUM	1	100.0	True
website-to-video	24	MEDIUM	7	100.0	True
ltx2	22	MEDIUM	2	100.0	True
setup-api-key	22	MEDIUM	3	100.0	True
session-start-hook	21	MEDIUM	1	0.0	True
sound-effects	16	LOW	3	100.0	True
text-to-speech	11	LOW	12	100.0	True
video-translate	11	LOW	11	100.0	True
agents	10	LOW	5	100.0	True
faceswap	10	LOW	19	100.0	True
music	8	LOW	2	100.0	True
beautiful-mermaid	7	LOW	1	100.0	True
pdf	7	LOW	1	91.7	True
threejs-animation	7	LOW	1	100.0	True
speech-to-text	5	LOW	1	100.0	True
morning	3	LOW	1	100.0	True
acestep	0	LOW	0	100.0	True
azure-speech-to-text	0	LOW	0	100.0	True
d3-viz	0	LOW	0	0.0	True
elevenlabs	0	LOW	0	100.0	True
framer-motion	0	LOW	0	100.0	True
karpathy-guidelines	0	LOW	0	100.0	True
learn	0	LOW	0	100.0	True
lottie-bodymovin	0	LOW	0	100.0	True
manim-composer	0	LOW	0	100.0	True
manimce-best-practices	0	LOW	0	100.0	True
manimgl-best-practices	0	LOW	0	100.0	True
tailwind-design-system	0	LOW	0	100.0	True
threejs-fundamentals	0	LOW	0	100.0	True
threejs-geometry	0	LOW	0	100.0	True
threejs-interaction	0	LOW	0	100.0	True
threejs-lighting	0	LOW	0	100.0	True
threejs-loaders	0	LOW	0	100.0	True
threejs-materials	0	LOW	0	100.0	True
threejs-postprocessing	0	LOW	0	100.0	True
threejs-shaders	0	LOW	0	100.0	True
threejs-textures	0	LOW	0	100.0	True
ui-ux-pro-max	0	LOW	0	100.0	True
video-download	0	LOW	0	100.0	True
video-understand	0	LOW	0	100.0	True
visual-style	0	LOW	0	100.0	True
web-design-guidelines	0	LOW	0	100.0	True
